source,target,number
"Bickelhaupt, S","Maier-Hein, KH",1
"Bickelhaupt, S","Paech, D",1
"Bickelhaupt, S","Schlemmer, HP",1
"Bickelhaupt, S","Steudle, F",1
"Bickelhaupt, S","Tichy, D",1
"Bickelhaupt, S","Wiesenfarth, M",1
"Bidault, F","Casiraghi, O",1
"Bidault, F","Deutsch, E",1
"Bidault, F","Ferté, C",1
"Bidault, F","Lambin, P",1
"Bidault, F","Robert, C",1
"Bidault, F","Scoazec, JY",1
"Bidault, F","Tao, Y",1
"Bidault, F","Temam, S",1
"Bierstedt, C","Bendl, R",1
"Bierstedt, C","Debus, J",1
"Bierstedt, C","Giske, K",1
"Bierstedt, C","Oetzel, D",1
"Blanc-Durand, P","Denys, A",1
"Blanc-Durand, P","Depeursinge, A",1
"Blanc-Durand, P","Jreige, M",1
"Blanc-Durand, P","Nicod-Lalonde, M",1
"Blanc-Durand, P","Prior, JO",1
"Blanc-Durand, P","Schaefer, N",1
"Blanc-Durand, P","Silva-Monteiro, M",1
"Blanc-Durand, P","Van Der Gucht, A",1
"Blanchard, P","Bidault, F",1
"Blanchard, P","Casiraghi, O",1
"Blanchard, P","Deutsch, E",1
"Blanchard, P","Ferté, C",1
"Blanchard, P","Garberis, I",1
"Blanchard, P","Gorphe, P",1
"Blanchard, P","Lambin, P",1
"Blanchard, P","Leijenaar, RTH",1
"Blanchard, P","Levy, A",1
"Blanchard, P","Nguyen, F",1
"Blanchard, P","Robert, C",1
"Blanchard, P","Rosellini, S",1
"Blanchard, P","Scoazec, JY",1
"Blanchard, P","Tao, Y",1
"Blanchard, P","Temam, S",1
"Bloch, N","Anderson, SW",1
"Bloch, N","Li, B",1
"Bloch, N","Qureshi, MM",1
"Bloch, N","Soto, JA",1
"Blumenthal, DT","Ram, Z",1
"Blumenthal, DT","Shahar, T",1
"Boellaard, R","Lambin, P",3
"Boellaard, R","Gillies, RJ",2
"Boellaard, R","Troost, EG",2
"Boellaard, R","Burgerhof, JGM",1
"Boellaard, R","Dekker, AL",1
"Boellaard, R","Dingemans, AC",1
"Boellaard, R","Langendijk, JA",1
"Boellaard, R","Sijtsema, NM",1
"Boellaard, R","Steenbakkers, RJHM",1
"Boellaard, R","van der Noort, V",1
"Bogowicz, M","Guckenberger, M",4
"Bogowicz, M","Studer, G",4
"Bogowicz, M","Tanadini-Lang, S",4
"Bogowicz, M","Bundschuh, RA",3
"Bogowicz, M","Pruschy, M",2
"Bogowicz, M","Riesterer, O",2
"Bogowicz, M","Stieb, S",2
"Bogowicz, M","Unkelbach, J",2
"Bogowicz, M","Glatz, S",1
"Bogowicz, M","Hüllner, M",1
"Bogowicz, M","Ikenberg, K",1
"Bogowicz, M","Konukoglu, E",1
"Bogowicz, M","Lambin, P",1
"Bogowicz, M","Leijenaar, RTH",1
"Bogowicz, M","Moch, H",1
"Bogowicz, M","Stark, LS",1
